day_offset,predicted_usd,lower_ci_95,upper_ci_95
1,0.7429,0.7239,0.7618
2,0.7868,0.7678,0.8058
3,0.8307,0.8117,0.8497
4,0.8746,0.8557,0.8936
5,0.9186,0.8996,0.9375
6,0.9625,0.9435,0.9815
7,1.0064,0.9875,1.0254
8,1.0504,1.0314,1.0693
9,1.0943,1.0753,1.1133
10,1.1382,1.1192,1.1572
11,1.1821,1.1632,1.2011
12,1.2261,1.2071,1.245
13,1.27,1.251,1.289
14,1.3139,1.295,1.3329
15,1.3579,1.3389,1.3768
16,1.4018,1.3828,1.4208
17,1.4457,1.4267,1.4647
18,1.4896,1.4707,1.5086
19,1.5336,1.5146,1.5525
20,1.5775,1.5585,1.5965
21,1.6214,1.6025,1.6404
22,1.6654,1.6464,1.6843
23,1.7093,1.6903,1.7283
24,1.7532,1.7342,1.7722
25,1.7971,1.7782,1.8161
26,1.8411,1.8221,1.86
27,1.885,1.866,1.904
28,1.9289,1.91,1.9479
29,1.9729,1.9539,1.9918
30,2.0168,1.9978,2.0358
